
央视频道,#genre#
CCTV-6,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-6-HQ/G_CCTV-6-HQ.m3u8$订阅源
CCTV-6,http://123.113.187.204:8000/udp/239.3.1.174:8001$订阅源
CCTV-6,http://60.2.190.206:4000/udp/239.253.92.193:6058$订阅源
CCTV-6,http://171.213.193.65:8818/udp/239.93.1.13:2226$订阅源
CCTV-6,http://[2409:8087:2001:20:2800:0:df6e:eb13]/ott.mobaibox.com/PLTV/3/224/3221227505/index.m3u8$订阅源-IPv6
CCTV-6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8$订阅源-IPv6
CCTV-6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$订阅源-IPv6
CCTV-7,http://183.255.10.72:6610/200000001898/460000089800010215/1.m3u8?$订阅源
CCTV-7,http://183.255.10.73:6610/200000001898/460000089800010215/1.m3u8?IASHttpSessionId=OTT$订阅源
CCTV-7,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-7-HQ/G_CCTV-7-HQ.m3u8$订阅源
CCTV-7,http://123.113.187.204:8000/udp/239.3.1.61:8104$订阅源
CCTV-7,http://60.2.190.206:4000/udp/239.253.92.194:6059$订阅源
CCTV-7,http://171.213.193.65:8818/udp/239.93.1.67:5140$订阅源
CCTV-7,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000380/index.m3u8?IAS$订阅源-IPv6
CCTV-7,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010215/$订阅源-IPv6
CCTV-7,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000017218/1.m3u8$订阅源-IPv6
CCTV-7,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010215/1.m3u8?$订阅源-IPv6
CCTV-8,http://183.255.10.76:6610/200000001898/460000089800010216/1.m3u8?IASHttpSessionId=OTT$订阅源
CCTV-8,http://183.255.10.76:6610/200000001898/460000089800010216/1.m3u8?$订阅源
CCTV-8,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-8-HQ/G_CCTV-8-HQ.m3u8$订阅源
CCTV-8,http://123.113.187.204:8000/udp/239.3.1.175:8001$订阅源
CCTV-8,http://60.2.190.206:4000/udp/239.253.92.195:6060$订阅源
CCTV-8,http://171.213.193.65:8818/udp/239.93.42.39:5140$订阅源
CCTV-8,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221226008/2.m3u8$订阅源-IPv6
CCTV-8,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000001070/1.m3u8?channel-id=wasusyt&Contentid=6000000001000001070&livemode=1&stbId=3$订阅源-IPv6
CCTV-8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$订阅源-IPv6
CCTV-8,http://[2409:8087:74d9:21::6]/270000001128/9900000008/index.m3u8$订阅源-IPv6
CCTV-9,http://183.255.10.92:6610/200000001898/460000089800010217/1.m3u8?IASHttpSessionId=OTT$订阅源
CCTV-9,http://183.255.10.92:6610/200000001898/460000089800010217/1.m3u8?$订阅源
CCTV-9,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-9-HQ/G_CCTV-9-HQ.m3u8$订阅源
CCTV-9,http://123.113.187.204:8000/udp/239.3.1.62:8112$订阅源
CCTV-9,http://183.3.134.56:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://60.2.190.206:4000/udp/239.253.92.107:6020$订阅源
CCTV-9,http://171.213.193.65:8818/udp/239.93.1.24:5140$订阅源
CCTV-9,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225734/index.m3u8$订阅源-IPv6
CCTV-9,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000014583/$订阅源-IPv6
CCTV-9,http://[2409:8087:74d9:21::9]/270000001128/index.m3u8?cmcc_cid=9900000505$订阅源-IPv6
